name,height,co2_absorption,canopy_cover
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.7,7.1
Celtis australis,4.5,0.6,7.1
Celtis australis,5,0.7,7.1
Celtis australis,5,0.7,7.1
Celtis australis,5,0.7,12.6
Celtis australis,6,0.7,12.6
Celtis australis,4,0.7,7.1
Celtis australis,8,1.2,28.3
Celtis australis,8,1.2,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1.1,28.3
Celtis australis,8,0.9,28.3
Celtis australis,8,1.1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1.1,28.3
Celtis australis,8,1,28.3
Celtis australis,8,1.1,28.3
Celtis australis,8,1.2,28.3
Celtis australis,6,0.7,19.6
Celtis australis,6,0.7,19.6
Celtis australis,8,0.9,28.3
Celtis australis,8,1,28.3
Celtis australis,7,0.8,19.6
Celtis australis,8,1,50.3
Celtis australis,7,0.9,28.3
Celtis australis,4,0.4,1.8
Celtis australis,4,0.5,1.8
Celtis australis,5,0.7,12.6
Celtis australis,5,0.7,12.6
Celtis australis,4,0.5,1.8
Tilia cordata,5,2.4,12.6
Tilia cordata,4,1.3,4.9
Tilia cordata,4,1.9,12.6
Tilia cordata,4,1.1,4.9
Tilia cordata,6,2.4,15.9
Tilia cordata,4.5,0.7,0.8
Tilia cordata,4.5,0.7,0.8
Tilia cordata,5,1.9,12.6
Tilia cordata,6,2.3,12.6
Tilia cordata,4,0.8,0.8
Tilia cordata,4,0.7,1.8
Tilia cordata,5,2.3,12.6
Tilia cordata,3.5,0.6,3.1
Tilia cordata,4,3,15.9
Celtis australis,4,0.5,1.8
Celtis australis,5,0.6,4.9
Celtis australis,4,0.5,1.8
Celtis australis,5,0.7,4.9
Celtis australis,5,0.7,4.9
Celtis australis,6,1,28.3
Celtis australis,6,0.9,28.3
Celtis australis,8,1.1,28.3
Tilia cordata,4,1.4,7.1
Tilia cordata,5,2.1,12.6
Tilia cordata,5,1.9,12.6
Tilia cordata,5,1.6,7.1
Carpinus betulus,4.5,2.1,7.1
Carpinus betulus,4.5,2.1,7.1
Carpinus betulus,5,1.7,4.9
Carpinus betulus,5,1.9,7.1
Carpinus betulus,4.5,1.3,4.9
Carpinus betulus,4.5,1.5,4.9
Carpinus betulus,5,1.7,3.1
Platanus x hispanica,5,2,7.1
Platanus x hispanica,7,4.7,28.3
Platanus x hispanica,7,4.4,28.3
Platanus x hispanica,7,3.5,28.3
Platanus x hispanica,7,3.8,28.3
Platanus x hispanica,5,2.2,7.1
Platanus x hispanica,8,3,28.3
Platanus x hispanica,13,8.5,78.5
Platanus x hispanica,12,8.5,78.5
Platanus x hispanica,11,4.7,50.3
Platanus x hispanica,6,0.9,1.8
Platanus x hispanica,12,8.199999999999999,78.5
Platanus x hispanica,11,4.4,63.6
Platanus x hispanica,12,6.7,78.5
Platanus x hispanica,11,4.7,63.6
Platanus x hispanica,12,7.1,95
Platanus x hispanica,8,2.7,23.8
Celtis australis,4,0.5,0.8
Celtis australis,6,0.7,12.6
Celtis australis,6,0.8,12.6
Platanus x hispanica,10,3.8,63.6
Platanus x hispanica,12,6.7,78.5
Platanus x hispanica,12,7.8,78.5
Platanus x hispanica,8,3.5,38.5
Platanus x hispanica,8,3.5,50.3
Platanus x hispanica,11,4.7,50.3
Platanus x hispanica,11,5.3,63.6
Platanus x hispanica,11,5.3,63.6
Platanus x hispanica,10,4.4,50.3
Platanus x hispanica,12,5.3,95
Platanus x hispanica,11,7.1,78.5
Platanus x hispanica,7,3.5,38.5
Tilia cordata,10,3.8,50.3
Tilia cordata,10,2.6,50.3
Tilia cordata,7,2.1,12.6
Tilia cordata,7,2.1,12.6
Tilia cordata,7,2.3,28.3
Tilia cordata,6,1.7,12.6
Tilia cordata,6,1.6,12.6
Tilia cordata,6,1.6,28.3
Tilia cordata,7,1.9,28.3
Tilia cordata,7,1.7,38.5
Tilia cordata,8,2.4,38.5
Tilia cordata,4,0.6,0.8
Tilia cordata,6,1.6,12.6
Tilia cordata,5,0.6,1.8
Tilia cordata,6,1.1,4.9
Tilia cordata,2.5,0.7,0.8
Tilia cordata,4.5,1.4,12.6
Tilia cordata,4,1.1,3.1
Tilia cordata,4,1.1,3.1
Tilia cordata,6.5,2.6,12.6
Tilia cordata,4,0.8,1.8
Tilia cordata,5.5,2.1,19.6
Tilia cordata,5.5,2.1,28.3
Tilia cordata,4,0.7,0.8
Tilia cordata,4,0.7,0.8
Tilia cordata,6,2.4,28.3
Tilia cordata,5.5,2.1,19.6
Tilia cordata,4,0.7,0.8
