source,target,category
Theodor W. Hänsch,Physics,Physics
Theodor W. Hänsch,Europe,Physics
Thomas C. Schelling,Economic Sciences,Economic Sciences
Thomas C. Schelling,North America,Economic Sciences
Roy J. Glauber,Physics,Physics
Roy J. Glauber,North America,Physics
Robert J. Aumann,Economic Sciences,Economic Sciences
Robert J. Aumann,Israel,Economic Sciences
Yves Chauvin,Chemistry,Chemistry
Yves Chauvin,Europe,Chemistry
J. Robin Warren,Medicine,Medicine
J. Robin Warren,,Medicine
Richard R. Schrock,Chemistry,Chemistry
Richard R. Schrock,North America,Chemistry
Harold Pinter,Literature,Literature
Harold Pinter,,Literature
John L. Hall,Physics,Physics
John L. Hall,North America,Physics
Mohamed ElBaradei,Peace,Peace
Mohamed ElBaradei,,Peace
George F. Smoot,Physics,Physics
George F. Smoot,North America,Physics
Edmund S. Phelps,Economic Sciences,Economic Sciences
Edmund S. Phelps,North America,Economic Sciences
Craig C. Mello,Medicine,Medicine
Craig C. Mello,North America,Medicine
John C. Mather,Physics,Physics
John C. Mather,North America,Physics
Muhammad Yunus,Peace,Peace
Muhammad Yunus,,Peace
Roger D. Kornberg,Chemistry,Chemistry
Roger D. Kornberg,North America,Chemistry
Andrew Z. Fire,Medicine,Medicine
Andrew Z. Fire,North America,Medicine
Orhan Pamuk,Literature,Literature
Orhan Pamuk,,Literature
Doris Lessing,Literature,Literature
Doris Lessing,,Literature
Gerhard Ertl,Chemistry,Chemistry
Gerhard Ertl,Europe,Chemistry
Sir Martin J. Evans,Medicine,Medicine
Sir Martin J. Evans,Europe,Medicine
Albert Fert,Physics,Physics
Albert Fert,Europe,Physics
Roger B. Myerson,Economic Sciences,Economic Sciences
Roger B. Myerson,North America,Economic Sciences
Al Gore,Peace,Peace
Al Gore,,Peace
Eric S. Maskin,Economic Sciences,Economic Sciences
Eric S. Maskin,North America,Economic Sciences
Oliver Smithies,Medicine,Medicine
Oliver Smithies,North America,Medicine
Peter Grünberg,Physics,Physics
Peter Grünberg,Europe,Physics
Mario R. Capecchi,Medicine,Medicine
Mario R. Capecchi,North America,Medicine
Leonid Hurwicz,Economic Sciences,Economic Sciences
Leonid Hurwicz,North America,Economic Sciences
Paul Krugman,Economic Sciences,Economic Sciences
Paul Krugman,North America,Economic Sciences
Yoichiro Nambu,Physics,Physics
Yoichiro Nambu,North America,Physics
Françoise Barré-Sinoussi,Medicine,Medicine
Françoise Barré-Sinoussi,Europe,Medicine
Luc Montagnier,Medicine,Medicine
Luc Montagnier,Europe,Medicine
Roger Y. Tsien,Chemistry,Chemistry
Roger Y. Tsien,North America,Chemistry
Osamu Shimomura,Chemistry,Chemistry
Osamu Shimomura,North America,Chemistry
Jean-Marie Gustave Le Clézio,Literature,Literature
Jean-Marie Gustave Le Clézio,,Literature
Harald zur Hausen,Medicine,Medicine
Harald zur Hausen,Europe,Medicine
Toshihide Maskawa,Physics,Physics
Toshihide Maskawa,Japan,Physics
Martti Ahtisaari,Peace,Peace
Martti Ahtisaari,,Peace
Makoto Kobayashi,Physics,Physics
Makoto Kobayashi,Japan,Physics
Martin Chalfie,Chemistry,Chemistry
Martin Chalfie,North America,Chemistry
Oliver E. Williamson,Economic Sciences,Economic Sciences
Oliver E. Williamson,North America,Economic Sciences
Jack W. Szostak,Medicine,Medicine
Jack W. Szostak,North America,Medicine
Herta Müller,Literature,Literature
Herta Müller,,Literature
Willard S. Boyle,Physics,Physics
Willard S. Boyle,North America,Physics
Charles K. Kao,Physics,Physics
Charles K. Kao,Europe,Physics
Carol W. Greider,Medicine,Medicine
Carol W. Greider,North America,Medicine
Barack H. Obama,Peace,Peace
Barack H. Obama,,Peace
Elinor Ostrom,Economic Sciences,Economic Sciences
Elinor Ostrom,North America,Economic Sciences
Thomas A. Steitz,Chemistry,Chemistry
Thomas A. Steitz,North America,Chemistry
Ada E. Yonath,Chemistry,Chemistry
Ada E. Yonath,Israel,Chemistry
Venkatraman Ramakrishnan,Chemistry,Chemistry
Venkatraman Ramakrishnan,Europe,Chemistry
George E. Smith,Physics,Physics
George E. Smith,North America,Physics
Elizabeth H. Blackburn,Medicine,Medicine
Elizabeth H. Blackburn,North America,Medicine
Richard F. Heck,Chemistry,Chemistry
Richard F. Heck,North America,Chemistry
Mario Vargas Llosa,Literature,Literature
Mario Vargas Llosa,,Literature
Akira Suzuki,Chemistry,Chemistry
Akira Suzuki,Japan,Chemistry
Konstantin Novoselov,Physics,Physics
Konstantin Novoselov,Europe,Physics
Robert G. Edwards,Medicine,Medicine
Robert G. Edwards,Europe,Medicine
Peter A. Diamond,Economic Sciences,Economic Sciences
Peter A. Diamond,North America,Economic Sciences
Andre Geim,Physics,Physics
Andre Geim,Europe,Physics
Dale T. Mortensen,Economic Sciences,Economic Sciences
Dale T. Mortensen,North America,Economic Sciences
Ei-ichi Negishi,Chemistry,Chemistry
Ei-ichi Negishi,North America,Chemistry
Christopher A. Pissarides,Economic Sciences,Economic Sciences
Christopher A. Pissarides,Europe,Economic Sciences
Liu Xiaobo,Peace,Peace
Liu Xiaobo,,Peace
Tomas Tranströmer,Literature,Literature
Tomas Tranströmer,,Literature
Thomas J. Sargent,Economic Sciences,Economic Sciences
Thomas J. Sargent,North America,Economic Sciences
Tawakkol Karman,Peace,Peace
Tawakkol Karman,,Peace
Ellen Johnson Sirleaf,Peace,Peace
Ellen Johnson Sirleaf,,Peace
Jules A. Hoffmann,Medicine,Medicine
Jules A. Hoffmann,Europe,Medicine
Dan Shechtman,Chemistry,Chemistry
Dan Shechtman,Israel,Chemistry
Christopher A. Sims,Economic Sciences,Economic Sciences
Christopher A. Sims,North America,Economic Sciences
Leymah Gbowee,Peace,Peace
Leymah Gbowee,,Peace
Adam G. Riess,Physics,Physics
Adam G. Riess,North America,Physics
Ralph M. Steinman,Medicine,Medicine
Ralph M. Steinman,North America,Medicine
Bruce A. Beutler,Medicine,Medicine
Bruce A. Beutler,North America,Medicine
Brian P. Schmidt,Physics,Physics
Brian P. Schmidt,Australia,Physics
Saul Perlmutter,Physics,Physics
Saul Perlmutter,North America,Physics
Lloyd S. Shapley,Economic Sciences,Economic Sciences
Lloyd S. Shapley,North America,Economic Sciences
Serge Haroche,Physics,Physics
Serge Haroche,Europe,Physics
David J. Wineland,Physics,Physics
David J. Wineland,North America,Physics
Alvin E. Roth,Economic Sciences,Economic Sciences
Alvin E. Roth,North America,Economic Sciences
Robert J. Lefkowitz,Chemistry,Chemistry
Robert J. Lefkowitz,,Chemistry
Brian Kobilka,Chemistry,Chemistry
Brian Kobilka,North America,Chemistry
Mo Yan,Literature,Literature
Mo Yan,,Literature
Sir John B. Gurdon,Medicine,Medicine
Sir John B. Gurdon,Europe,Medicine
Shinya Yamanaka,Medicine,Medicine
Shinya Yamanaka,Japan,Medicine
Alice Munro,Literature,Literature
Alice Munro,,Literature
Robert J. Shiller,Economic Sciences,Economic Sciences
Robert J. Shiller,North America,Economic Sciences
Michael Levitt,Chemistry,Chemistry
Michael Levitt,North America,Chemistry
Eugene F. Fama,Economic Sciences,Economic Sciences
Eugene F. Fama,North America,Economic Sciences
Randy W. Schekman,Medicine,Medicine
Randy W. Schekman,North America,Medicine
Arieh Warshel,Chemistry,Chemistry
Arieh Warshel,North America,Chemistry
François Englert,Physics,Physics
François Englert,Europe,Physics
Lars Peter Hansen,Economic Sciences,Economic Sciences
Lars Peter Hansen,North America,Economic Sciences
Peter Higgs,Physics,Physics
Peter Higgs,Europe,Physics
James E. Rothman,Medicine,Medicine
James E. Rothman,North America,Medicine
Martin Karplus,Chemistry,Chemistry
Martin Karplus,Europe,Chemistry
Thomas C. Südhof,Medicine,Medicine
Thomas C. Südhof,North America,Medicine
William E. Moerner,Chemistry,Chemistry
William E. Moerner,North America,Chemistry
Edvard I. Moser,Medicine,Medicine
Edvard I. Moser,Europe,Medicine
John O'Keefe,Medicine,Medicine
John O'Keefe,Europe,Medicine
Eric Betzig,Chemistry,Chemistry
Eric Betzig,North America,Chemistry
Malala Yousafzai,Peace,Peace
Malala Yousafzai,,Peace
May-Britt Moser,Medicine,Medicine
May-Britt Moser,Europe,Medicine
Stefan W. Hell,Chemistry,Chemistry
Stefan W. Hell,Europe,Chemistry
Isamu Akasaki,Physics,Physics
Isamu Akasaki,Japan,Physics
Hiroshi Amano,Physics,Physics
Hiroshi Amano,Japan,Physics
Patrick Modiano,Literature,Literature
Patrick Modiano,,Literature
Shuji Nakamura,Physics,Physics
Shuji Nakamura,North America,Physics
Kailash Satyarthi,Peace,Peace
Kailash Satyarthi,,Peace
Jean Tirole,Economic Sciences,Economic Sciences
Jean Tirole,Europe,Economic Sciences
Takaaki Kajita,Physics,Physics
Takaaki Kajita,Japan,Physics
Svetlana Alexievich,Literature,Literature
Svetlana Alexievich,,Literature
Aziz Sancar,Chemistry,Chemistry
Aziz Sancar,North America,Chemistry
Satoshi &#332;mura,Medicine,Medicine
Satoshi &#332;mura,Japan,Medicine
Angus Deaton,Economic Sciences,Economic Sciences
Angus Deaton,North America,Economic Sciences
William C. Campbell,Medicine,Medicine
William C. Campbell,North America,Medicine
Tomas Lindahl,Chemistry,Chemistry
Tomas Lindahl,Europe,Chemistry
Tu Youyou,Medicine,Medicine
Tu Youyou,China,Medicine
Arthur B. McDonald,Physics,Physics
Arthur B. McDonald,North America,Physics
Paul Modrich,Chemistry,Chemistry
Paul Modrich,North America,Chemistry
Juan Manuel Santos,Peace,Peace
Juan Manuel Santos,,Peace
Jean-Pierre Sauvage,Chemistry,Chemistry
Jean-Pierre Sauvage,Europe,Chemistry
Bob Dylan,Literature,Literature
Bob Dylan,,Literature
Sir J. Fraser Stoddart,Chemistry,Chemistry
Sir J. Fraser Stoddart,North America,Chemistry
J. Michael Kosterlitz,Physics,Physics
J. Michael Kosterlitz,North America,Physics
David J. Thouless,Physics,Physics
David J. Thouless,North America,Physics
Oliver Hart,Economic Sciences,Economic Sciences
Oliver Hart,North America,Economic Sciences
Yoshinori Ohsumi,Medicine,Medicine
Yoshinori Ohsumi,Japan,Medicine
F. Duncan M. Haldane,Physics,Physics
F. Duncan M. Haldane,North America,Physics
Bernard L. Feringa,Chemistry,Chemistry
Bernard L. Feringa,Europe,Chemistry
Bengt Holmström,Economic Sciences,Economic Sciences
Bengt Holmström,North America,Economic Sciences
Michael Rosbash,Medicine,Medicine
Michael Rosbash,North America,Medicine
Barry C. Barish,Physics,Physics
Barry C. Barish,,Physics
Michael W. Young,Medicine,Medicine
Michael W. Young,North America,Medicine
Kip S. Thorne,Physics,Physics
Kip S. Thorne,,Physics
Rainer Weiss,Physics,Physics
Rainer Weiss,,Physics
Richard H. Thaler,Economic Sciences,Economic Sciences
Richard H. Thaler,North America,Economic Sciences
Richard Henderson,Chemistry,Chemistry
Richard Henderson,Europe,Chemistry
Jacques Dubochet,Chemistry,Chemistry
Jacques Dubochet,Europe,Chemistry
Joachim Frank,Chemistry,Chemistry
Joachim Frank,North America,Chemistry
Jeffrey C. Hall,Medicine,Medicine
Jeffrey C. Hall,North America,Medicine
Kazuo Ishiguro,Literature,Literature
Kazuo Ishiguro,,Literature
Tasuku Honjo,Medicine,Medicine
Tasuku Honjo,Japan,Medicine
Olga Tokarczuk,Literature,Literature
Olga Tokarczuk,,Literature
Nadia Murad,Peace,Peace
Nadia Murad,,Peace
Donna Strickland,Physics,Physics
Donna Strickland,North America,Physics
George P. Smith,Chemistry,Chemistry
George P. Smith,North America,Chemistry
Denis Mukwege,Peace,Peace
Denis Mukwege,,Peace
William D. Nordhaus,Economic Sciences,Economic Sciences
William D. Nordhaus,North America,Economic Sciences
Frances H. Arnold,Chemistry,Chemistry
Frances H. Arnold,North America,Chemistry
Arthur Ashkin,Physics,Physics
Arthur Ashkin,North America,Physics
James P. Allison,Medicine,Medicine
James P. Allison,North America,Medicine
Sir Gregory P. Winter,Chemistry,Chemistry
Sir Gregory P. Winter,Europe,Chemistry
Gérard Mourou,Physics,Physics
Gérard Mourou,Europe,Physics
Paul M. Romer,Economic Sciences,Economic Sciences
Paul M. Romer,North America,Economic Sciences
Peter Handke,Literature,Literature
Peter Handke,,Literature
Abiy Ahmed Ali,Peace,Peace
Abiy Ahmed Ali,,Peace
Abhijit Banerjee,Economic Sciences,Economic Sciences
Abhijit Banerjee,North America,Economic Sciences
Esther Duflo,Economic Sciences,Economic Sciences
Esther Duflo,North America,Economic Sciences
John B. Goodenough,Chemistry,Chemistry
John B. Goodenough,North America,Chemistry
Akira Yoshino,Chemistry,Chemistry
Akira Yoshino,Japan,Chemistry
Didier Queloz,Physics,Physics
Didier Queloz,Europe,Physics
Michael Kremer,Economic Sciences,Economic Sciences
Michael Kremer,North America,Economic Sciences
Sir Peter J. Ratcliffe,Medicine,Medicine
Sir Peter J. Ratcliffe,Europe,Medicine
M. Stanley Whittingham,Chemistry,Chemistry
M. Stanley Whittingham,North America,Chemistry
James Peebles,Physics,Physics
James Peebles,North America,Physics
William G. Kaelin Jr,Medicine,Medicine
William G. Kaelin Jr,North America,Medicine
Gregg L. Semenza,Medicine,Medicine
Gregg L. Semenza,North America,Medicine
Michel Mayor,Physics,Physics
Michel Mayor,Europe,Physics
