awardYear,category,name,gender,birth_date,affiliation_1,birth_cityNow,birth_countryNow,motivation,award_link,laureate_link,img_online_path,img_local_path,age,affiliation_country,affiliation_zone,birth_zone,affiliation_lat,affiliation_lon,affiliation_zone_lat,affiliation_zone_lon,birth_lat,birth_lon,birth_zone_lat,birth_zone_lon
1936,Physics,Victor F. Hess,male,1883-06-24,"Innsbruck University, Innsbruck, Austria",Peggau,Austria,for his discovery of cosmic radiation,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1936,http://masterdataapi.nobelprize.org/2/laureate/42,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Hess.jpg/220px-Hess.jpg,faces/Q78520.jpg,53,Austria,Europe,Europe,47.35,14.47,48.55,5.72,47.35,14.47,48.55,5.72
1936,Peace,Carlos Saavedra Lamas,male,1878-11-01,,Buenos Aires,Argentina,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1936,http://masterdataapi.nobelprize.org/2/laureate/501,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Carlos_Saavedra_Lamas.jpg/220px-Carlos_Saavedra_Lamas.jpg,faces/Q193672.jpg,58,,,Argentina,0.0,0.0,0.0,0.0,-37.57,-66.3,-37.57,-66.3
1936,Medicine,Otto Loewi,male,1873-06-03,"Graz University, Graz, Austria",Frankfurt-on-the-Main,Germany,for their discoveries relating to chemical transmission of nerve impulses,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1936,http://masterdataapi.nobelprize.org/2/laureate/331,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Otto_Loewi_nobel.jpg/220px-Otto_Loewi_nobel.jpg,faces/Q77173.jpg,63,Austria,Europe,Europe,47.35,14.47,48.55,5.72,51.42,10.6,48.55,5.72
1936,Physics,Carl D. Anderson,male,1905-09-03,"California Institute of Technology (Caltech), Pasadena, CA, USA","New York, NY",USA,for his discovery of the positron,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1936,http://masterdataapi.nobelprize.org/2/laureate/43,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Carl_David_Anderson.jpg/220px-Carl_David_Anderson.jpg,faces/Q169366.jpg,31,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1936,Medicine,Sir Henry Dale,male,1875-06-09,"National Institute for Medical Research, London, United Kingdom",London,United Kingdom,for their discoveries relating to chemical transmission of nerve impulses,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1936,http://masterdataapi.nobelprize.org/2/laureate/330,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Henry_Hallett_Dale3.jpg/220px-Henry_Hallett_Dale3.jpg,faces/Q72194.jpg,61,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1936,Literature,Eugene O'Neill,male,1888-10-16,,"New York, NY",USA,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1936,http://masterdataapi.nobelprize.org/2/laureate/608,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Eugene_O%27Neill_1936.jpg/220px-Eugene_O%27Neill_1936.jpg,faces/Q93157.jpg,48,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1937,Chemistry,Paul Karrer,male,1889-04-21,"University of Zurich, Zurich, Switzerland",Moscow,Russia,"for his investigations on carotenoids, flavins and vitamins A and B2",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1937,http://masterdataapi.nobelprize.org/2/laureate/197,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/UAZ_DOK.005.059_Karrer.tif/lossy-page1-220px-UAZ_DOK.005.059_Karrer.tif.jpg,faces/Q73093.jpg,48,Switzerland,Europe,Russia,47.0,8.43,48.55,5.72,61.1,81.38,61.1,81.38
1937,Physics,George Paget Thomson,male,1892-05-03,"London University, London, United Kingdom",Cambridge,United Kingdom,for their experimental discovery of the diffraction of electrons by crystals,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1937,http://masterdataapi.nobelprize.org/2/laureate/45,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/George_Paget_Thomson.jpg/220px-George_Paget_Thomson.jpg,faces/Q133846.jpg,45,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1937,Peace,"Robert Cecil, Viscount Cecil of Chelwood",male,1864-09-14,,London,United Kingdom,"for his tireless effort in support of the League of Nations, disarmament and peace",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1937,http://masterdataapi.nobelprize.org/2/laureate/502,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/FileRobert_Cecil%2C_1st_Viscount_Cecil_of_Chelwood_looking_left_circa_1915.jpg/220px-FileRobert_Cecil%2C_1st_Viscount_Cecil_of_Chelwood_looking_left_circa_1915.jpg,faces/Q12702.jpg,73,,,Europe,0.0,0.0,0.0,0.0,52.94,-1.23,48.55,5.72
1937,Physics,Clinton Davisson,male,1881-10-22,"Bell Telephone Laboratories, New York, NY, USA","Bloomington, IL",USA,for their experimental discovery of the diffraction of electrons by crystals,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1937,http://masterdataapi.nobelprize.org/2/laureate/44,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Clinton_Davisson.jpg/220px-Clinton_Davisson.jpg,faces/Q133222.jpg,56,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1937,Literature,Roger Martin du Gard,male,1881-03-23,,Neuilly-sur-Seine,France,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1937,http://masterdataapi.nobelprize.org/2/laureate/609,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Roger_Martin_du_Gard_1937.jpg/220px-Roger_Martin_du_Gard_1937.jpg,faces/Q129155.jpg,56,,,Europe,0.0,0.0,0.0,0.0,46.97,2.7,48.55,5.72
1937,Chemistry,Norman Haworth,male,1883-03-19,"Birmingham University, Birmingham, United Kingdom",Chorley,United Kingdom,for his investigations on carbohydrates and vitamin C,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1937,http://masterdataapi.nobelprize.org/2/laureate/196,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Norman_Haworth.jpg/220px-Norman_Haworth.jpg,faces/Q204600.jpg,54,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1937,Medicine,Albert Szent-Györgyi,male,1893-09-16,"Szeged University, Szeged, Hungary",Budapest,Hungary,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1937,http://masterdataapi.nobelprize.org/2/laureate/332,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/GyorgyiNIH.jpg/220px-GyorgyiNIH.jpg,faces/Q180468.jpg,44,Hungary,Europe,Europe,46.66,18.98,48.55,5.72,46.66,18.98,48.55,5.72
1938,Physics,Enrico Fermi,male,1901-09-29,"Rome University, Rome, Italy",Rome,Italy,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1938,http://masterdataapi.nobelprize.org/2/laureate/46,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Enrico_Fermi_1943-49.jpg/220px-Enrico_Fermi_1943-49.jpg,faces/Q8753.jpg,37,Italy,Europe,Europe,42.41,12.74,48.55,5.72,42.41,12.74,48.55,5.72
1938,Medicine,Corneille Heymans,male,1892-03-28,"Ghent University, Ghent, Belgium",Ghent,Belgium,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1938,http://masterdataapi.nobelprize.org/2/laureate/333,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Corneille_Heymans_nobel.jpg/220px-Corneille_Heymans_nobel.jpg,faces/Q156482.jpg,46,Belgium,Europe,Europe,50.67,4.86,48.55,5.72,50.67,4.86,48.55,5.72
1938,Literature,Pearl Buck,female,1892-06-26,,"Hillsboro, WV",USA,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1938,http://masterdataapi.nobelprize.org/2/laureate/610,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Pearl_Buck_%28Nobel%29.jpg/220px-Pearl_Buck_%28Nobel%29.jpg,faces/Q80900.jpg,46,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1938,Chemistry,Richard Kuhn,male,1900-12-03,"Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung, Heidelberg, Germany",Vienna,Austria,for his work on carotenoids and vitamins,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1938,http://masterdataapi.nobelprize.org/2/laureate/198,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Richard_Kuhn_ETH-Bib_Dia_248-065.jpg/220px-Richard_Kuhn_ETH-Bib_Dia_248-065.jpg,faces/Q78483.jpg,38,Germany,Europe,Europe,51.42,10.6,48.55,5.72,47.35,14.47,48.55,5.72
