source,target,weight
Sir Charles Sherrington,Europe,1
Sir Norman Angell,Peace,1
Ivan Bunin,Literature,1
Thomas H. Morgan,Medicine,1
Thomas H. Morgan,North America,1
Erwin Schrödinger,Physics,1
Erwin Schrödinger,Europe,1
Paul A.M. Dirac,Physics,1
Paul A.M. Dirac,Europe,1
George R. Minot,Medicine,1
George R. Minot,North America,1
William P. Murphy,Medicine,1
William P. Murphy,North America,1
Harold C. Urey,Chemistry,1
Harold C. Urey,North America,1
George H. Whipple,Medicine,1
George H. Whipple,North America,1
Luigi Pirandello,Literature,1
Arthur Henderson,Peace,1
Frédéric Joliot,Chemistry,1
Frédéric Joliot,Europe,1
Irène Joliot-Curie,Chemistry,1
Irène Joliot-Curie,Europe,1
James Chadwick,Physics,1
James Chadwick,Europe,1
Carl von Ossietzky,Peace,1
Hans Spemann,Medicine,1
Hans Spemann,Europe,1
Peter Debye,Chemistry,1
Peter Debye,Europe,1
Victor F. Hess,Physics,1
Victor F. Hess,Europe,1
Carlos Saavedra Lamas,Peace,1
Otto Loewi,Medicine,1
Otto Loewi,Europe,1
Carl D. Anderson,Physics,1
Carl D. Anderson,North America,1
Sir Henry Dale,Medicine,1
Sir Henry Dale,Europe,1
Eugene O'Neill,Literature,1
Paul Karrer,Chemistry,1
Paul Karrer,Europe,1
George Paget Thomson,Physics,1
George Paget Thomson,Europe,1
"Robert Cecil, Viscount Cecil of Chelwood",Peace,1
Clinton Davisson,Physics,1
Clinton Davisson,North America,1
Roger Martin du Gard,Literature,1
Norman Haworth,Chemistry,1
Norman Haworth,Europe,1
Albert Szent-Györgyi,Medicine,1
Albert Szent-Györgyi,Europe,1
Enrico Fermi,Physics,1
Enrico Fermi,Europe,1
Corneille Heymans,Medicine,1
Corneille Heymans,Europe,1
Pearl Buck,Literature,1
Richard Kuhn,Chemistry,1
Richard Kuhn,Europe,1
Gerhard Domagk,Medicine,1
Gerhard Domagk,Europe,1
Leopold Ruzicka,Chemistry,1
Leopold Ruzicka,Europe,1
Frans Eemil Sillanpää,Literature,1
Ernest Lawrence,Physics,1
Ernest Lawrence,North America,1
Adolf Butenandt,Chemistry,1
Adolf Butenandt,Europe,1
Edward A. Doisy,Medicine,1
Edward A. Doisy,North America,1
Henrik Dam,Medicine,1
Henrik Dam,Europe,1
Otto Stern,Physics,1
Otto Stern,North America,1
George de Hevesy,Chemistry,1
George de Hevesy,Europe,1
Otto Hahn,Chemistry,1
Otto Hahn,Europe,1
Johannes V. Jensen,Literature,1
Isidor Isaac Rabi,Physics,1
Isidor Isaac Rabi,North America,1
Herbert S. Gasser,Medicine,1
Herbert S. Gasser,North America,1
Joseph Erlanger,Medicine,1
Joseph Erlanger,North America,1
Sir Alexander Fleming,Medicine,1
Sir Alexander Fleming,Europe,1
Cordell Hull,Peace,1
Wolfgang Pauli,Physics,1
Wolfgang Pauli,North America,1
Sir Howard Florey,Medicine,1
Sir Howard Florey,Europe,1
Gabriela Mistral,Literature,1
Artturi Virtanen,Chemistry,1
Artturi Virtanen,Europe,1
Ernst B. Chain,Medicine,1
Ernst B. Chain,Europe,1
Wendell M. Stanley,Chemistry,1
Wendell M. Stanley,North America,1
James B. Sumner,Chemistry,1
James B. Sumner,North America,1
John H. Northrop,Chemistry,1
John H. Northrop,North America,1
Hermann J. Muller,Medicine,1
Hermann J. Muller,North America,1
Hermann Hesse,Literature,1
John R. Mott,Peace,1
Emily Greene Balch,Peace,1
Percy W. Bridgman,Physics,1
Percy W. Bridgman,North America,1
André Gide,Literature,1
Bernardo Houssay,Medicine,1
Bernardo Houssay,Argentina,1
Sir Robert Robinson,Chemistry,1
Sir Robert Robinson,Europe,1
Carl Cori,Medicine,1
Carl Cori,North America,1
Edward V. Appleton,Physics,1
Edward V. Appleton,Europe,1
Gerty Cori,Medicine,1
Gerty Cori,North America,1
T.S. Eliot,Literature,1
Patrick M.S. Blackett,Physics,1
Patrick M.S. Blackett,Europe,1
Paul Müller,Medicine,1
Paul Müller,Europe,1
Arne Tiselius,Chemistry,1
Arne Tiselius,Europe,1
William F. Giauque,Chemistry,1
William F. Giauque,North America,1
Hideki Yukawa,Physics,1
Hideki Yukawa,Japan,1
Lord Boyd Orr,Peace,1
Egas Moniz,Medicine,1
Egas Moniz,Europe,1
